Airport Name,City,IATA Code,Country
Algiers,Houari Boumediene Airport,ALG,Algeria
Annaba,Rabah Bitat Airport,AAE,Algeria
Batna,Batna Airport,BLJ,Algeria
Béjaïa,Soummam Airport,BJA,Algeria
Chlef,Chlef International Airport,CFK,Algeria
Constantine,Mohamed Boudiaf International Airport,CZL,Algeria
Jijel,Jijel Ferhat Abbas Airport,GJL,Algeria
Oran,Oran Es Senia Airport,ORN,Algeria
Oumache,Biskra Airport,BSK,Algeria
Sétif,Ain Arnat Airport,QSF,Algeria
Tlemcen,Zenata – Messali El Hadj Airport,TLM,Algeria
Alexandria,Borg El Arab International Airport,HBE,Egypt
Alexandria,El Nouzha Airport (OPEN),ALY,Egypt
Asyut,Assiut Airport,ATZ,Egypt
Aswan,Aswan International Airport,ASW,Egypt
Cairo,Cairo International Airport,CAI,Egypt
Cairo,Sphinx International Airport,SPX,Egypt
El Arish,El Arish International Airport,AAC,Egypt
El Dabaa,El Alamein International Airport,DBB,Egypt
Hurghada,Hurghada International Airport,HRG,Egypt
Luxor,Luxor International Airport,LXR,Egypt
Marsa Alam,Marsa Alam International Airport,RMF,Egypt
Mersa Matruh,Mersa Matruh International Airport,MUH,Egypt
Saint Catherine,St. Catherine International Airport,SKV,Egypt
Sharm El Sheikh,Sharm El Sheikh International Airport,SSH,Egypt
Sohag,Sohag International Airport,HMB,Egypt
Taba,Taba International Airport,TCP,Egypt
Benghazi,Benina International Airport,BEN,Libya
Sabha,Sabha Airport,SEB,Libya
Tripoli,Tripoli International Airport,TIP,Libya
Tajoura,Mitiga International Airport,MJI,Libya
Agadir,Agadir–Al Massira Airport,AGA,Morocco
Casablanca,Mohammed V International Airport,CMN,Morocco
Fes,Fès–Saïs Airport,FEZ,Morocco
Marrakech,Marrakesh Menara Airport,RAK,Morocco
Nador,Nador International Airport,NDR,Morocco
Ouarzazate,Ouarzazate Airport,OZZ,Morocco
Oujda,Angads Airport,OUD,Morocco
Rabat,Rabat–Salé Airport,RBA,Morocco
Tangier,Tangier Ibn Battouta Airport,TNG,Morocco
Tetouan,Sania Ramel Airport,TTU,Morocco
Dakhla,Dakhla Airport,VIL,Morocco
Laayoune,Hassan I Airport,EUN,Morocco
Khartoum,Khartoum International Airport,KRT,Sudan
Port Sudan,Port Sudan New International Airport,PZU,Sudan
Djerba,Djerba–Zarzis International Airport,DJE,Tunisia
Enfidha,Enfidha–Hammamet International Airport,NBE,Tunisia
Monastir,Monastir Habib Bourguiba International Airport,MIR,Tunisia
Sfax,Sfax–Thyna International Airport,SFA,Tunisia
Tabarka,Tabarka–Aïn Draham International Airport,TBJ,Tunisia
Tozeur,Tozeur–Nefta International Airport,TOE,Tunisia
Tunis,Tunis–Carthage International Airport,TUN,Tunisia
Cotonou,Cadjehoun Airport,COO,Benin
Bobo-Dioulasso,Bobo Dioulasso Airport,BOY,Burkina Faso
Ouagadougou,Thomas Sankara International Airport Ouagadougou,OUA,Burkina Faso
Boa Vista,Aristides Pereira International Airport,BVC,Cape Verde
Sal Island,Amílcar Cabral International Airport,SID,Cape Verde
"Praia, Santiago Island",Nelson Mandela International Airport,RAI,Cape Verde
São Vicente,Cesária Évora Airport,VXE,Cape Verde
Abidjan,Félix-Houphouët-Boigny International Airport,ABJ,Côte d'Ivoire
Banjul,Banjul International Airport,BJL,The Gambia
Accra,Kotoka International Airport,ACC,Ghana
Kumasi,Kumasi International Airport,KMS,Ghana
Takoradi,Takoradi Airport,TKD,Ghana
Sunyani,Sunyani Airport,NYI,Ghana
Ho,Ho Airport,HZO,Ghana
Wa,Wa Airport,WZA,Ghana
Tamale,Tamale Airport,TML,Ghana
Conakry,Conakry International Airport,CKY,Guinea
Bissau,Osvaldo Vieira International Airport,OXB,Guinea-Bissau
Monrovia,Roberts International Airport,ROB,Liberia
Bamako,Modibo Keita International Airport,BKO,Mali
Nouakchott,Nouakchott–Oumtounsy International Airport,NKC,Mauritania
Nouadhibou,Nouadhibou International Airport,NDB,Mauritania
Atar,Atar International Airport,ATR,Mauritania
Niamey,Diori Hamani International Airport,NIM,Niger
Abuja,Nnamdi Azikiwe International Airport,ABV,Nigeria
Calabar,Margaret Ekpo International Airport,CBQ,Nigeria
"Asaba, Delta",Asaba International Airport,ABB,Nigeria
Kano,Mallam Aminu Kano International Airport,KAN,Nigeria
Lagos,Murtala Muhammed International Airport,LOS,Nigeria
Port Harcourt,Port Harcourt International Airport,PHC,Nigeria
Enugu,Akanu Ibiam International Airport,ENU,Nigeria
Sokoto,Sadiq Abubakar III International Airport,SKO,Nigeria
Saint Helena,Saint Helena Airport,HLE,"Saint Helena, Ascension and Tristan da Cunha"
Dakar,Blaise Diagne International Airport,DSS,Senegal
Freetown,Lungi International Airport,FNA,Sierra Leone
Lomé,Lomé–Tokoin International Airport,LFW,Togo
Luanda,Quatro de Fevereiro Airport,LAD,Angola
Lubango,Lubango Airport,SDD,Angola
Douala,Douala International Airport,DLA,Cameroon
Yaoundé,Yaoundé Nsimalen International Airport,NSI,Cameroon
Bangui,Bangui M'Poko International Airport,BGF,Central African Republic
N'Djamena,N'Djamena International Airport,NDJ,Chad
Goma,Goma International Airport,GOM,Democratic Republic of the Congo
Kinshasa,N'djili Airport,FIH,Democratic Republic of the Congo
Kisangani,Kisangani Bangoka International Airport,FKI,Democratic Republic of the Congo
Lubumbashi,Lubumbashi International Airport,FBM,Democratic Republic of the Congo
Brazzaville,Maya-Maya Airport,BZV,Republic of the Congo
Pointe-Noire,Agostinho-Neto International Airport,PNR,Republic of the Congo
Malabo,Malabo International Airport,SSG,Equatorial Guinea
Franceville,M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB,Gabon
Libreville,Léon-Mba International Airport,LBV,Gabon
Port-Gentil,Port-Gentil International Airport,POG,Gabon
São Tomé,São Tomé International Airport,TMS,São Tomé and Príncipe
Gaborone,Sir Seretse Khama International Airport,GBE,Botswana
Maun,Maun Airport,MUB,Botswana
Francistown,Francistown International Airport,FRW,Botswana
Kasane,Kasane Airport,BBK,Botswana
Manzini,King Mswati III International Airport,SHO,Eswatini
Maseru,Moshoeshoe I International Airport,MSU,Lesotho
Windhoek,Hosea Kutako International Airport,WDH,Namibia
Walvis Bay,Walvis Bay Airport,WVB,Namibia
Bloemfontein,Bram Fischer International Airport,BFN,South Africa
Cape Town,Cape Town International Airport,CPT,South Africa
Durban,King Shaka International Airport,DUR,South Africa
East London,East London Airport,ELS,South Africa
Johannesburg,O. R. Tambo International Airport,JNB,South Africa
Johannesburg,Lanseria International Airport,HLA,South Africa
Nelspruit,Kruger Mpumalanga International Airport,MQP,South Africa
Polokwane,Polokwane International Airport,PTG,South Africa
Bujumbura,Bujumbura International Airport,BJM,Burundi
Moroni,Prince Said Ibrahim International Airport,HAH,Comoros
Djibouti City,Djibouti–Ambouli International Airport,JIB,Djibouti
Asmara,Asmara International Airport,ASM,Eritrea
Addis Ababa,Addis Ababa Bole International Airport,ADD,Ethiopia
Dire Dawa,Dire Dawa Airport,DIR,Ethiopia
Eldoret,Eldoret International Airport,EDL,Kenya
Mombasa,Moi International Airport,MBA,Kenya
Kisumu,Kisumu International Airport,KIS,Kenya
Nairobi,Jomo Kenyatta International Airport,NBO,Kenya
Antananarivo,Ivato International Airport,TNR,Madagascar
Antsiranana,Arrachart Airport,DIE,Madagascar
Mahajanga,Amborovy Airport,MJN,Madagascar
Nosy Be,Fascene Airport,NOS,Madagascar
Toamasina,Toamasina Airport,TMM,Madagascar
Tôlanaro,Tôlanaro Airport,FTU,Madagascar
Toliara,Toliara Airport,TLE,Madagascar
Blantyre,Chileka International Airport,BLZ,Malawi
Lilongwe,Lilongwe International Airport,LLW,Malawi
Plaine Magnien,Sir Seewoosagur Ramgoolam International Airport,MRU,Mauritius
Dzaoudzi,Dzaoudzi–Pamandzi International Airport,DZA,Mayotte
Maputo,Maputo International Airport,MPM,Mozambique
Beira,Beira Airport,BEW,Mozambique
Inhambane,Inhambane Airport,INH,Mozambique
Nampula,Nampula Airport,APL,Mozambique
Pemba,Pemba Airport,POL,Mozambique
Tete,Chingozi Airport,TET,Mozambique
Vilankulo,Vilankulo Airport,VNX,Mozambique
Saint-Denis,Roland Garros Airport,RUN,Réunion
Kigali,Kigali International Airport,KGL,Rwanda
Victoria,Seychelles International Airport,SEZ,Seychelles
Bosaso,Bosaso Airport,BSA,Somalia
Galkayo,Abdullahi Yusuf Airport,GLK,Somalia
Garowe,Garowe Airport,GGR,Somalia
Hargeisa,Hargeisa Airport,HGA,Somalia
Kismayo,Kismayo Airport,KMU,Somalia
Mogadishu,Aden Adde International Airport,MGQ,Somalia
Juba,Juba International Airport,JUB,South Sudan
Malakal,Malakal Airport,MAK,South Sudan
Arusha,Arusha Airport,ARK,Tanzania
Dar es Salaam,Julius Nyerere International Airport,DAR,Tanzania
Hai District,Kilimanjaro International Airport,JRO,Tanzania
Mwanza,Mwanza Airport,MWZ,Tanzania
Tanga,Tanga Airport,TGT,Tanzania
"Unguja, Zanzibar",Abeid Amani Karume International Airport,ZNZ,Tanzania
Arua,Arua Airport,RUA,Uganda
Entebbe,Entebbe International Airport,EBB,Uganda
Gulu,Gulu Airport,ULU,Uganda
Livingstone,Harry Mwanga Nkumbula International Airport,LVI,Zambia
Lusaka,Kenneth Kaunda International Airport,LUN,Zambia
Mfuwe,Mfuwe Airport,MFU,Zambia
Ndola,Simon Mwansa Kapwepwe International Airport,NLA,Zambia
Harare,Robert Gabriel Mugabe International Airport,HRE,Zimbabwe
Victoria Falls,Victoria Falls Airport,VFA,Zimbabwe
Bulawayo,Joshua Mqabuko Nkomo International Airport,BUQ,Zimbabwe
The Valley,Clayton J. Lloyd International Airport,AXA,Anguilla
St. John’s,V. C. Bird International Airport,ANU,Antigua and Barbuda
Oranjestad,Queen Beatrix International Airport,AUA,Aruba
Nassau,Lynden Pindling International Airport,NAS,The Bahamas
Chub Cay,Chub Cay International Airport,CCZ,The Bahamas
Exuma,Exuma International Airport,GGT,The Bahamas
Freeport,Grand Bahama International Airport,FPO,The Bahamas
North Eleuthera,North Eleuthera Airport,ELH,The Bahamas
South Eleuthera,Rock Sound International Airport,RSD,The Bahamas
Marsh Harbour,Marsh Harbour International Airport,MHH,The Bahamas
Bridgetown,Grantley Adams International Airport,BGI,Barbados
Road Town,Terrance B. Lettsome International Airport,EIS,British Virgin Islands
"Kralendijk, Bonaire",Flamingo International Airport,BON,Caribbean Netherlands
"Oranjestad, Sint Eustatius",F. D. Roosevelt Airport,EUX,Caribbean Netherlands
"Flat Point, Saba",Juancho E. Yrausquin Airport,SAB,Caribbean Netherlands
Cayman Brac,Charles Kirkconnell International Airport,CYB,Cayman Islands
Georgetown,Owen Roberts International Airport,GCM,Cayman Islands
Camagüey,Ignacio Agramonte International Airport,CMW,Cuba
Cayo Coco,Jardines del Rey Airport,CCC,Cuba
Cayo Largo del Sur,Vilo Acuña Airport,CYO,Cuba
Cienfuegos,Jaime González Airport,CFG,Cuba
Havana,José Martí International Airport,HAV,Cuba
Holguín,Frank País Airport,HOG,Cuba
Santa Clara,Abel Santamaría Airport,SNU,Cuba
Santiago de Cuba,Antonio Maceo Airport,SCU,Cuba
Varadero,Juan Gualberto Gómez Airport,VRA,Cuba
Willemstad,Curaçao International Airport,CUR,Curaçao
Marigot,Douglas–Charles Airport,DOM,Dominica
Barahona,María Montez International Airport,BRX,Dominican Republic
La Romana,La Romana International Airport,LRM,Dominican Republic
Punta Cana,Punta Cana International Airport,PUJ,Dominican Republic
Samana,Samaná El Catey International Airport,AZS,Dominican Republic
San Felipe de Puerto Plata,Gregorio Luperón International Airport,POP,Dominican Republic
Santiago de los Caballeros,Cibao International Airport,STI,Dominican Republic
Santo Domingo,Las Américas International Airport,SDQ,Dominican Republic
Saint Georges,Maurice Bishop International Airport,GND,Grenada
Pointe-à-Pitre,Pointe-à-Pitre International Airport,PTP,Guadeloupe
Cap-Haïtien,Cap-Haïtien International Airport,CAP,Haiti
Port-au-Prince,Toussaint Louverture International Airport,PAP,Haiti
Kingston,Norman Manley International Airport,KIN,Jamaica
Montego Bay,Sangster International Airport,MBJ,Jamaica
Fort-de-France,Martinique Aimé Césaire International Airport,FDF,Martinique
Brades,John A. Osborne Airport,MNI,Montserrat
Aguadilla,Rafael Hernández Airport,BQN,Puerto Rico
San Juan,Luis Muñoz Marín International Airport,SJU,Puerto Rico
Saint Jean,Gustaf III Airport,SBH,Saint Barthélemy
Basseterre,Robert L. Bradshaw International Airport,SKB,Saint Kitts and Nevis
Vieux Fort Quarter,Hewanorra International Airport,UVF,Saint Lucia
Kingstown,Argyle International Airport,SVD,Saint Vincent and the Grenadines
Canouan,Canouan Airport,CIW,Saint Vincent and the Grenadines
Philipsburg,Princess Juliana International Airport,SXM,Sint Maarten
Port of Spain,Piarco International Airport,POS,Trinidad and Tobago
Tobago,A.N.R. Robinson International Airport,TAB,Trinidad and Tobago
Blue Hills,Providenciales Airport,PLS,Turks and Caicos Islands
Charlotte Amalie,Cyril E. King Airport,STT,U.S. Virgin Islands
Christiansted,Henry E. Rohlsen Airport,STX,U.S. Virgin Islands
Belize City,Philip S. W. Goldson International Airport,BZE,Belize
Liberia,Daniel Oduber Quirós International Airport,LIR,Costa Rica
San José,Juan Santamaría International Airport,SJO,Costa Rica
San Salvador,El Salvador International Airport,SAL,El Salvador
Flores,Mundo Maya International Airport,FRS,Guatemala
Guatemala City,La Aurora International Airport,GUA,Guatemala
La Ceiba,Golosón International Airport,LCE,Honduras
Roatán,Juan Manuel Gálvez International Airport,RTB,Honduras
San Pedro Sula,Ramón Villeda Morales International Airport,SAP,Honduras
Tegucigalpa,Toncontín International Airport,TGU,Honduras
Comayagua,Comayagua International Airport,XPL,Honduras
Managua,Augusto C. Sandino International Airport,MGA,Nicaragua
Bluefields,Bluefields Airport,BEF,Nicaragua
Corn Island,Corn Island Airport,RNI,Nicaragua
Bocas del Toro,"Bocas del Toro ""Isla Colón"" International Airport",BOC,Panama
"David, Chiriquí",Enrique Malek International Airport,DAV,Panama
Panama City,"Albrook ""Marcos A. Gelabert"" International Airport",PAC,Panama
Panama City,Panama Pacifico International Airport,BLB,Panama
Panama City,Tocumen International Airport,PTY,Panama
Rio Hato,Scarlett Martínez International Airport,RIH,Panama
Hamilton,L.F. Wade International Airport,BDA,Bermuda
Abbotsford,Abbotsford International Airport,YXX,Canada
Calgary,Calgary International Airport,YYC,Canada
Edmonton,Edmonton International Airport,YEG,Canada
Fredericton,Fredericton International Airport,YFC,Canada
Gander,Gander International Airport,YQX,Canada
Halifax (Goffs),Halifax Stanfield International Airport,YHZ,Canada
Hamilton,John C. Munro Hamilton International Airport,YHM,Canada
Kitchener,Region of Waterloo International Airport,YKF,Canada
London,London International Airport,YXU,Canada
Moncton (Dieppe),Greater Moncton Roméo LeBlanc International Airport,YQM,Canada
Montreal (Dorval),Montréal–Trudeau International Airport,YUL,Canada
Ottawa,Ottawa Macdonald–Cartier International Airport,YOW,Canada
Quebec City,Québec City Jean Lesage International Airport,YQB,Canada
Regina,Regina International Airport,YQR,Canada
St. John,Saint John Airport,YSJ,Canada
St. John's,St. John's International Airport,YYT,Canada
Thunder Bay,Thunder Bay International Airport,YQT,Canada
Toronto/Mississauga,Toronto Pearson International Airport,YYZ,Canada
Toronto,Billy Bishop Toronto City Airport,YTZ,Canada
Vancouver (Richmond),Vancouver International Airport,YVR,Canada
Victoria (Sidney),Victoria International Airport,YYJ,Canada
Whitehorse,Erik Nielsen Whitehorse International Airport,YXY,Canada
Windsor,Windsor International Airport,YQG,Canada
Winnipeg,Winnipeg James Armstrong Richardson International Airport,YWG,Canada
Kangerlussuaq,Kangerlussuaq Airport,SFJ,Greenland
Nuuk,Nuuk Airport,GOH,Greenland
Ilulissat,Ilulissat Airport,JAV,Greenland
Narsarsuaq,Narsarsuaq Airport,UAK,Greenland
Acapulco,Acapulco International Airport,ACA,Mexico
Aguascalientes,Aguascalientes International Airport,AGU,Mexico
Cancún,Cancún International Airport,CUN,Mexico
Chihuahua,Chihuahua International Airport,CUU,Mexico
Ciudad del Carmen,Ciudad del Carmen International Airport,CME,Mexico
Cozumel,Cozumel International Airport,CZM,Mexico
Culiacán,Culiacán International Airport,CUL,Mexico
Durango,Durango International Airport,DGO,Mexico
Guadalajara,Miguel Hidalgo y Costilla Guadalajara International Airport,GDL,Mexico
Hermosillo,Hermosillo International Airport,HMO,Mexico
Huatulco,Bahías de Huatulco International Airport,HUX,Mexico
Ixtapa,Ixtapa-Zihuatanejo International Airport,ZIH,Mexico
León,Bajío International Airport,BJX,Mexico
Loreto,Loreto International Airport,LTO,Mexico
Los Cabos,Los Cabos International Airport,SJD,Mexico
Manzanillo,Playa de Oro International Airport,ZLO,Mexico
Mazatlán,Mazatlán International Airport,MZT,Mexico
Mérida,Mérida International Airport,MID,Mexico
Mexicali,Mexicali International Airport,MXL,Mexico
Mexico City,Mexico City International Airport,MEX,Mexico
Mexico City,Felipe Ángeles International Airport,NLU,Mexico
Monterrey,Monterrey International Airport,MTY,Mexico
Morelia,General Francisco Mujica International Airport,MLM,Mexico
Oaxaca City,Oaxaca International Airport,OAX,Mexico
Puebla,Puebla International Airport,PBC,Mexico
Puerto Escondido,Puerto Escondido International Airport,PXM,Mexico
Puerto Vallarta,Licenciado Gustavo Díaz Ordaz International Airport,PVR,Mexico
Querétaro City,Querétaro Intercontinental Airport,QRO,Mexico
Reynosa,General Lucio Blanco International Airport,REX,Mexico
Saltillo,Saltillo Airport,SLW,Mexico
San Luis Potosí,San Luis Potosí International Airport,SLP,Mexico
Tampico,Tampico International Airport,TAM,Mexico
Tijuana,Tijuana International Airport,TIJ,Mexico
Toluca,Toluca International Airport,TLC,Mexico
Torreón,Torreón International Airport,TRC,Mexico
Tulum,Tulum International Airport,TQO,Mexico
Tuxtla Gutiérrez,Tuxtla Gutiérrez International Airport,TGZ,Mexico
Uruapan,Uruapan International Airport,UPN,Mexico
Veracruz,Veracruz International Airport,VER,Mexico
Villahermosa,Villahermosa International Airport,VSA,Mexico
Zacatecas City,Zacatecas International Airport,ZCL,Mexico
Saint-Pierre,Saint-Pierre Airport,FSP,Saint Pierre and Miquelon
Akron,Akron Executive Airport,AKC,United States
Albany,Albany International Airport,ALB,United States
Albuquerque,Albuquerque International Sunport,ABQ,United States
Anchorage,Anchorage International Airport,ANC,United States
Appleton,Appleton International Airport,ATW,United States
Atlanta,Hartsfield–Jackson Atlanta International Airport,ATL,United States
Atlantic City,Atlantic City International Airport,ACY,United States
Austin (TX),Austin–Bergstrom International Airport,AUS,United States
Baltimore,Baltimore/Washington International Airport,BWI,United States
Bangor,Bangor International Airport,BGR,United States
Baudette,Baudette International Airport,BDE,United States
Bellingham,Bellingham International Airport,BLI,United States
Birmingham,Birmingham–Shuttlesworth International Airport,BHM,United States
Boise,Boise Airport,BOI,United States
Boston,Logan International Airport,BOS,United States
Brownsville,Brownsville South Padre Island International Airport,BRO,United States
Buffalo,Buffalo Niagara International Airport,BUF,United States
Calexico,Calexico International Airport,CXL,United States
Charlotte,Charlotte Douglas International Airport,CLT,United States
Charleston (SC),Charleston International Airport,CHS,United States
Chicago,Midway International Airport,MDW,United States
Chicago,O'Hare International Airport,ORD,United States
Cincinnati (OH) (Hebron),Cincinnati/Northern Kentucky International Airport,CVG,United States
Cleveland,Cleveland Hopkins International Airport,CLE,United States
Columbia (SC),Columbia Metropolitan Airport,CAE,United States
Columbus (OH),John Glenn Columbus International Airport,CMH,United States
Columbus (OH),Rickenbacker International Airport,LCK,United States
Corpus Christi,Corpus Christi International Airport,CRP,United States
Dallas/Fort Worth,Dallas/Fort Worth International Airport,DFW,United States
Dayton (OH),Dayton International Airport,DAY,United States
Denver,Denver International Airport,DEN,United States
Des Moines (IA),Des Moines International Airport,DSM,United States
Detroit,Detroit Metropolitan Airport,DTW,United States
Duluth,Duluth International Airport,DLH,United States
El Paso,El Paso International Airport,ELP,United States
Erie,Erie International Airport,ERI,United States
Fairbanks,Fairbanks International Airport,FAI,United States
International Falls,Falls International Airport,INL,United States
Fort Lauderdale,Fort Lauderdale–Hollywood International Airport,FLL,United States
Fort Myers,Southwest Florida International Airport,RSW,United States
Fresno,Fresno Yosemite International Airport,FAT,United States
Gary,Gary/Chicago International Airport,GYY,United States
Grand Rapids,Gerald R. Ford International Airport,GRR,United States
Green Bay,Green Bay–Austin Straubel International Airport,GRB,United States
Greensboro,Piedmont Triad International Airport,GSO,United States
Gulfport,Gulfport-Biloxi International Airport,GPT,United States
Harrisburg,Harrisburg International Airport,MDT,United States
Hartford (CT),Bradley International Airport,BDL,United States
Hilo,Hilo International Airport,ITO,United States
Honolulu,Daniel K. Inouye International Airport,HNL,United States
Houston,George Bush Intercontinental Airport,IAH,United States
Houston,William P. Hobby Airport,HOU,United States
Huntsville (AL),Huntsville International Airport,HSV,United States
Indianapolis,Indianapolis International Airport,IND,United States
Jackson (MS),Jackson–Medgar Wiley Evers International Airport,JAN,United States
Jacksonville,Jacksonville International Airport,JAX,United States
Juneau,Juneau International Airport,JNU,United States
Kailua-Kona,Kona International Airport,KOA,United States
Kansas City (MO),Kansas City International Airport,MCI,United States
Ketchikan,Ketchikan International Airport,KTN,United States
Key West,Key West International Airport,EYW,United States
Kissimmee,Kissimmee Gateway Airport,ISM,United States
Knoxville,McGhee Tyson Airport,TYS,United States
Lakeland,Lakeland Linder International Airport,LAL,United States
Lansing,Capital Region International Airport,LAN,United States
Las Vegas,Harry Reid International Airport,LAS,United States
Little Rock,Bill and Hillary Clinton National Airport,LIT,United States
Los Angeles,Los Angeles International Airport,LAX,United States
Louisville,Louisville International Airport,SDF,United States
Lubbock,Lubbock Preston Smith International Airport,LBB,United States
Madison (WI),Dane County Regional Airport,MSN,United States
Melbourne (FL),Melbourne Orlando International Airport,MLB,United States
Memphis,Memphis International Airport,MEM,United States
Miami,Miami International Airport,MIA,United States
Midland,Midland International Air and Space Port,MAF,United States
Milwaukee,General Mitchell International Airport,MKE,United States
Minneapolis/St. Paul,Minneapolis–Saint Paul International Airport,MSP,United States
Myrtle Beach,Myrtle Beach International Airport,MYR,United States
Nashville,Nashville International Airport,BNA,United States
New Orleans,Louis Armstrong New Orleans International Airport,MSY,United States
New York City (Queens),John F. Kennedy International Airport,JFK,United States
New York City (Queens),LaGuardia Airport,LGA,United States
Newark,Newark Liberty International Airport,EWR,United States
Newburgh,Stewart International Airport,SWF,United States
Newport News,Newport News/Williamsburg International Airport,PHF,United States
Niagara Falls,Niagara Falls International Airport,IAG,United States
Norfolk (VA),Norfolk International Airport,ORF,United States
Oakland,Oakland International Airport,OAK,United States
Oklahoma City,Will Rogers World Airport,OKC,United States
Omaha,Eppley Airfield,OMA,United States
Ontario,Ontario International Airport,ONT,United States
Orange County (CA),John Wayne Airport,SNA,United States
Orlando,Orlando International Airport,MCO,United States
Palm Springs,Palm Springs International Airport,PSP,United States
Panama City (FL),Northwest Florida Beaches International Airport,ECP,United States
Pensacola,Pensacola International Airport,PNS,United States
Philadelphia,Philadelphia International Airport,PHL,United States
Phoenix,Phoenix Sky Harbor International Airport,PHX,United States
Phoenix/Mesa,Phoenix–Mesa Gateway Airport,AZA,United States
Pittsburgh,Pittsburgh International Airport,PIT,United States
"Plainfield, Wisconsin",Plainfield International Airport,5WI2,United States
Portland (ME),Portland International Jetport,PWM,United States
Portland (OR),Portland International Airport,PDX,United States
Providence (Warwick),Rhode Island T. F. Green International Airport,PVD,United States
Racine,Batten International Airport,RAC,United States
Raleigh,Raleigh–Durham International Airport,RDU,United States
Reno,Reno–Tahoe International Airport,RNO,United States
Richmond (VA) (Sandston),Richmond International Airport,RIC,United States
Rochester (MN),Rochester International Airport,RST,United States
Rochester (NY),Greater Rochester International Airport,ROC,United States
