Airport Name,City,IATA Code,Country
Rockford (IL),Chicago Rockford International Airport,RFD,United States
Sacramento,Sacramento International Airport,SMF,United States
Salt Lake City,Salt Lake City International Airport,SLC,United States
San Antonio,San Antonio International Airport,SAT,United States
San Bernardino,San Bernardino International Airport,SBD,United States
San Diego,San Diego International Airport,SAN,United States
San Francisco,San Francisco International Airport,SFO,United States
San Jose (CA),San Jose International Airport,SJC,United States
Sanford (FL),Orlando Sanford International Airport,SFB,United States
Sarasota/Bradenton,Sarasota–Bradenton International Airport,SRQ,United States
Savannah (GA),Savannah/Hilton Head International Airport,SAV,United States
Seattle,Kenmore Air Harbor Seaplane Base,LKE,United States
Seattle,King County International Airport,BFI,United States
Seattle,Seattle–Tacoma International Airport,SEA,United States
Sheboygan,Sheboygan County Memorial Airport,SBM,United States
Everett (WA),Paine Field,PAE,United States
Spokane,Spokane International Airport,GEG,United States
St. Louis,St. Louis Lambert International Airport,STL,United States
St. Petersburg (FL),St. Pete–Clearwater International Airport,PIE,United States
Syracuse,Syracuse Hancock International Airport,SYR,United States
Tallahassee,Tallahassee International Airport,TLH,United States
Tampa,Tampa International Airport,TPA,United States
Tucson,Tucson International Airport,TUS,United States
Tulsa,Tulsa International Airport,TUL,United States
"Washington, D.C.",Ronald Reagan Washington National Airport**,DCA,United States
"Washington, D.C.",Dulles International Airport,IAD,United States
West Palm Beach,Palm Beach International Airport,PBI,United States
Scranton,Wilkes-Barre/Scranton International Airport,AVP,United States
Wilmington (NC),Wilmington International Airport,ILM,United States
Buenos Aires,Ministro Pistarini International Airport,EZE,Argentina
Buenos Aires,Aeroparque Jorge Newbery,AEP,Argentina
Bariloche,San Carlos de Bariloche Airport,BRC,Argentina
Comodoro Rivadavia,General Enrique Mosconi International Airport,CRD,Argentina
Córdoba,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,COR,Argentina
Corrientes,Doctor Fernando Piragine Niveyro International Airport,CNQ,Argentina
El Calafate,Comandante Armando Tola International Airport,FTE,Argentina
El Palomar,El Palomar Airport,EPA,Argentina
Esquel,Brigadier General Antonio Parodi International Airport,EQS,Argentina
Formosa,Formosa International Airport,FMA,Argentina
Mar del Plata,Ástor Piazzolla International Airport,MDQ,Argentina
Mendoza,Governor Francisco Gabrielli International Airport,MDZ,Argentina
Neuquén,Presidente Perón International Airport,NQN,Argentina
Posadas,Libertador General José de San Martín Airport,PSS,Argentina
Puerto Iguazú,Cataratas del Iguazú International Airport,IGR,Argentina
Resistencia,Resistencia International Airport,RES,Argentina
Río Gallegos,Piloto Civil Norberto Fernández International Airport,RGL,Argentina
Río Grande,Hermes Quijada International Airport,RGA,Argentina
Rosario,Rosario – Islas Malvinas International Airport,ROS,Argentina
Salta,Martín Miguel de Güemes International Airport,SLA,Argentina
San Miguel de Tucumán,Teniente Benjamín Matienzo International Airport,TUC,Argentina
San Salvador de Jujuy,Gobernador Horacio Guzmán International Airport,JUJ,Argentina
Santa Rosa del Conlara,Valle del Conlara Airport,RLO,Argentina
Termas de Río Hondo,Termas de Río Hondo International Airport,RHD,Argentina
Trelew,Almirante Marcos A. Zar Airport,REL,Argentina
Ushuaia,Ushuaia – Malvinas Argentinas International Airport,USH,Argentina
La Paz,El Alto International Airport,LPB,Bolivia
Santa Cruz de la Sierra,Viru Viru International Airport,VVI,Bolivia
Cochabamba,Jorge Wilstermann International Airport,CBB,Bolivia
Aracaju,Santa Maria Airport,AJU,Brazil
Belém,Val de Cães International Airport,BEL,Brazil
Belo Horizonte,Tancredo Neves International Airport,CNF,Brazil
Boa Vista,Boa Vista International Airport,BVB,Brazil
Brasília,Brasília International Airport,BSB,Brazil
Campinas,Viracopos International Airport,VCP,Brazil
Campo Grande,Campo Grande International Airport,CGR,Brazil
Cuiabá,Marechal Rondon International Airport,CGB,Brazil
Curitiba,Afonso Pena International Airport,CWB,Brazil
Florianópolis,Hercílio Luz International Airport,FLN,Brazil
Fortaleza,Pinto Martins International Airport,FOR,Brazil
Foz do Iguaçu,Foz do Iguaçu International Airport,IGU,Brazil
Goiânia,Santa Genoveva Airport,GYN,Brazil
João Pessoa,Presidente Castro Pinto International Airport,JPA,Brazil
Maceió,Zumbi dos Palmares International Airport,MCZ,Brazil
Manaus,Eduardo Gomes International Airport,MAO,Brazil
Natal,Greater Natal International Airport,NAT,Brazil
Petrolina,Petrolina Airport,PNZ,Brazil
Porto Alegre,Salgado Filho Porto Alegre International Airport,POA,Brazil
Porto Velho,Governador Jorge Teixeira de Oliveira International Airport,PVH,Brazil
Recife,Guararapes International Airport,REC,Brazil
Rio Branco,Rio Branco International Airport,RBR,Brazil
Rio de Janeiro,Rio de Janeiro/Galeão International Airport,GIG,Brazil
Rio de Janeiro,Santos Dumont Airport,SDU,Brazil
Salvador,Deputado Luís Eduardo Magalhães International Airport,SSA,Brazil
São Luís,Marechal Cunha Machado International Airport,SLZ,Brazil
São Paulo,São Paulo–Congonhas Airport,CGH,Brazil
São Paulo,São Paulo/Guarulhos International Airport,GRU,Brazil
Teresina,Teresina Airport,THE,Brazil
Uberlândia,Uberlândia Airport,UDI,Brazil
Vitória,Eurico de Aguiar Salles Airport,VIX,Brazil
Antofagasta,Andrés Sabella Gálvez International Airport,ANF,Chile
Concepción,Carriel Sur International Airport,CCP,Chile
Puerto Montt,El Tepual International Airport,PMC,Chile
Punta Arenas,Presidente Carlos Ibáñez del Campo International Airport,PUQ,Chile
Santiago,Arturo Merino Benítez International Airport,SCL,Chile
Armenia,El Edén International Airport,AXM,Colombia
Barranquilla,Ernesto Cortissoz International Airport,BAQ,Colombia
Bogotá,El Dorado International Airport,BOG,Colombia
Bucaramanga,Palonegro International Airport,BGA,Colombia
Buenaventura,Gerardo Tobar López Airport,BUN,Colombia
Cali,Alfonso Bonilla Aragón International Airport,CLO,Colombia
Cartagena,Rafael Núñez International Airport,CTG,Colombia
Cúcuta,Camilo Daza International Airport,CUC,Colombia
Ibagué,Perales Airport,IBE,Colombia
Ipiales,San Luis Airport,IPI,Colombia
Florencia,Gustavo Artunduaga Paredes Airport,FLA,Colombia
Leticia,Alfredo Vásquez Cobo International Airport,LET,Colombia
Maicao,Jorge Isaacs Airport,MCJ,Colombia
Manizales,La Nubia Airport,MZL,Colombia
Medellín,José María Córdova International Airport,MDE,Colombia
Mitú,Fabio Alberto León Bentley Airport,MVP,Colombia
Montería,Los Garzones Airport,MTR,Colombia
Neiva,Benito Salas Airport,NVA,Colombia
Pasto,Antonio Nariño Airport,PSO,Colombia
Pereira,Matecaña International Airport,PEI,Colombia
Popayán,Guillermo León Valencia Airport,PPN,Colombia
Providence Island,El Embrujo Airport,PVA,Colombia
Quibdó,El Caraño Airport,UIB,Colombia
Riohacha,Almirante Padilla Airport,RCH,Colombia
San Andrés,Gustavo Rojas Pinilla International Airport,ADZ,Colombia
Tolú,Golfo de Morrosquillo Airport,TLU,Colombia
Tumaco,La Florida Airport,TCO,Colombia
Santa Marta,Simón Bolívar International Airport,SMR,Colombia
Sincelejo,Las Brujas Airport,CZU,Colombia
Valledupar,Alfonso López Pumarejo Airport,VUP,Colombia
Villavicencio,La Vanguardia Airport,VVC,Colombia
Yopal,El Alcaraván Airport,EYP,Colombia
Cuenca,Mariscal Lamar International Airport,CUE,Ecuador
Esmeraldas,Carlos Concha Torres International Airport,ESM,Ecuador
Guayaquil,José Joaquín de Olmedo International Airport,GYE,Ecuador
Machala,Santa Rosa International Airport,ETR,Ecuador
Manta,Eloy Alfaro International Airport,MEC,Ecuador
Quito,Mariscal Sucre International Airport,UIO,Ecuador
Tulcán,Teniente Coronel Luis a Mantilla International Airport,TUA,Ecuador
Mount Pleasant,RAF Mount Pleasant,MPN,Falkland Islands
Cayenne,Cayenne – Félix Eboué Airport,CAY,French Guiana
Georgetown,Cheddi Jagan International Airport,GEO,Guyana
Asunción,Silvio Pettirossi International Airport,ASU,Paraguay
Ciudad del Este,Guaraní International Airport,AGT,Paraguay
Arequipa,Rodríguez Ballón International Airport,AQP,Peru
Chiclayo,José Quiñones González International Airport,CIX,Peru
Cusco,Alejandro Velasco Astete International Airport,CUZ,Peru
Lima,Jorge Chávez International Airport,LIM,Peru
Trujillo,Carlos Martínez de Pinillos International Airport,TRU,Peru
Paramaribo,Johan Adolf Pengel International Airport,PBM,Suriname
Montevideo,Carrasco International Airport,MVD,Uruguay
Punta del Este,Capitán de Corbeta Carlos A. Curbelo International Airport,PDP,Uruguay
Rivera,Rivera International Airport,RVY,Uruguay
Caracas,Simón Bolívar International Airport,CCS,Venezuela
Maracaibo,La Chinita International Airport,MAR,Venezuela
Valencia,Arturo Michelena International Airport,VLN,Venezuela
Aktau,Aktau Airport,SCO,Kazakhstan
Aktobe,Aktobe International Airport,AKX,Kazakhstan
Almaty,Almaty International Airport,ALA,Kazakhstan
Atyrau,Atyrau Airport,GUW,Kazakhstan
Karaganda,Karaganda Airport,KGF,Kazakhstan
Kokshetau,Kokshetau Airport,KOV,Kazakhstan
Kostanay,Kostanay Airport,KSN,Kazakhstan
Kyzylorda,Kyzylorda Airport,KZO,Kazakhstan
Astana,Nursultan Nazarbayev International Airport,NQZ,Kazakhstan
Oral,Oral Ak Zhol Airport,URA,Kazakhstan
Oskemen,Oskemen Airport,UKK,Kazakhstan
Pavlodar,Pavlodar Airport,PWQ,Kazakhstan
Petropavl,Petropavl Airport,PPK,Kazakhstan
Semey,Semey Airport,PLX,Kazakhstan
Shymkent,Shymkent Airport,CIT,Kazakhstan
Taraz,Taraz Airport,DMB,Kazakhstan
Bishkek,Manas International Airport,FRU,Kyrgyzstan
Issyk-Kul,Issyk-Kul International Airport,IKU,Kyrgyzstan
Karakol,Karakol International Airport,IKG,Kyrgyzstan
Osh,Osh Airport,OSS,Kyrgyzstan
Bokhtar,Bokhtar International Airport,KQT,Tajikistan
Dushanbe,Dushanbe Airport,DYU,Tajikistan
Khujand,Khujand Airport,LBD,Tajikistan
Kulob,Kulob Airport,TJU,Tajikistan
Ashgabat,Ashgabat Airport,ASB,Turkmenistan
Daşoguz,Daşoguz Airport,TAZ,Turkmenistan
Mary,Mary International Airport,MYP,Turkmenistan
Turkmenbashi,Turkmenbashi International Airport,KRW,Turkmenistan
Türkmenabat,Turkmenabat International Airport,CRZ,Turkmenistan
Andijan,Andizhan Airport,AZN,Uzbekistan
Bukhara,Bukhara International Airport,BHK,Uzbekistan
Fergana,Fergana International Airport,FEG,Uzbekistan
Qarshi,Karshi Airport,KSQ,Uzbekistan
Namangan,Namangan Airport,NMA,Uzbekistan
Navoiy,Navoiy International Airport,NVI,Uzbekistan
Nukus,Nukus Airport,NCU,Uzbekistan
Samarkand,Samarkand International Airport,SKD,Uzbekistan
Tashkent,Islam Karimov Tashkent International Airport,TAS,Uzbekistan
Termez,Termez Airport,TMJ,Uzbekistan
Urgench,Urgench International Airport,UGC,Uzbekistan
Pyongyang,Pyongyang International Airport,FNJ,North Korea
Akita,Akita Airport,AXT,Japan
Aomori,Aomori Airport,AOJ,Japan
Fukuoka,Fukuoka Airport,FUK,Japan
Hakodate,Hakodate Airport,HKD,Japan
Kagoshima,Kagoshima Airport,KOJ,Japan
Komatsu,Komatsu Airport,KMQ,Japan
Hiroshima,Hiroshima Airport,HIJ,Japan
Kitakyushu,Kitakyushu Airport,KKJ,Japan
Nagasaki,Nagasaki Airport,NGS,Japan
Naha,Naha Airport,OKA,Japan
Nagoya,Chubu Centrair International Airport,NGO,Japan
Niigata,Niigata Airport,KIJ,Japan
Ōita,Oita Airport,OIT,Japan
Okayama,Okayama Airport,OKJ,Japan
Osaka,Kansai International Airport,KIX,Japan
Sapporo,New Chitose Airport,CTS,Japan
Sendai,Sendai Airport,SDJ,Japan
Shizuoka,Shizuoka Airport,FSZ,Japan
Tokyo,Haneda Airport,HND,Japan
Tokyo,Narita International Airport,NRT,Japan
Ulaanbaatar,Chinggis Khaan International Airport,UBN,Mongolia
Baotou,Baotou Donghe Airport,BAV,China
Beihai,Beihai Fucheng Airport,BHY,China
Beijing,Beijing Capital International Airport,PEK,China
Beijing,Beijing Daxing International Airport,PKX,China
Changchun,Changchun Longjia International Airport,CGQ,China
Changsha,Changsha Huanghua International Airport,CSX,China
Changzhou,Changzhou Benniu International Airport,CZX,China
Chengdu,Chengdu Shuangliu International Airport,CTU,China
Chengdu,Chengdu Tianfu International Airport,TFU,China
Chongqing,Chongqing Jiangbei International Airport,CKG,China
Dalian,Dalian Zhoushuizi International Airport,DLC,China
Dandong,Dandong Langtou Airport,DDG,China
Datong,Datong Yungang Airport,DAT,China
Dunhuang,Dunhuang Mogao International Airport,DNH,China
Enshi City,Enshi Xujiaping Airport,ENH,China
Fuzhou,Fuzhou Changle International Airport,FOC,China
Ganzhou,Ganzhou Huangjin Airport,KOW,China
Guangzhou,Guangzhou Baiyun International Airport,CAN,China
Guilin,Guilin Liangjiang International Airport,KWL,China
Guiyang,Guiyang Longdongbao International Airport,KWE,China
Haikou,Haikou Meilan International Airport,HAK,China
Hangzhou,Hangzhou Xiaoshan International Airport,HGH,China
Harbin,Harbin Taiping International Airport,HRB,China
Hefei,Hefei Xinqiao International Airport,HFE,China
Heihe,Heihe Aihui Airport,HEK,China
Hohhot,Hohhot Baita International Airport,HET,China
Huai'an,Huai'an Lianshui International Airport,HIA,China
Huangshan City,Huangshan Tunxi International Airport,TXN,China
Hulunbuir,Hulunbuir Hailar Airport,HLD,China
Jiamusi,Jiamusi Dongjiao Airport,JMU,China
Jieyang,Jieyang Chaoshan International Airport,SWA,China
Jinan,Jinan Yaoqiang International Airport,TNA,China
Kunming,Kunming Changshui International Airport,KMG,China
Lanzhou,Lanzhou Zhongchuan International Airport,LHW,China
Lhasa,Lhasa Gonggar Airport,LXA,China
Lianyungang,Lianyungang Baitabu Airport,LYG,China
Lijiang,Lijiang Sanyi International Airport,LJG,China
Linyi,Linyi Qiyang Airport,LYI,China
Luoyang,Luoyang Beijiao Airport,LYA,China
Mangshi,Dehong Mangshi Airport,LUM,China
Manzhouli,Manzhouli Xijiao Airport,NZH,China
Meizhou,Meixian Airport,MXZ,China
Mudanjiang,Mudanjiang Hailang International Airport,MDG,China
Nanchang,Nanchang Changbei International Airport,KHN,China
Nanjing,Nanjing Lukou International Airport,NKG,China
Nanning,Nanning Wuxu International Airport,NNG,China
Nantong,Nantong Xingdong International Airport,NTG,China
Ningbo,Ningbo Lishe International Airport,NGB,China
Ordos City,Ordos Ejin Horo International Airport,DSN,China
Qingdao,Qingdao Jiaodong International Airport,TAO,China
Qinhuangdao,Qinhuangdao Beidaihe Airport,BPE,China
Qiqihar,Qiqihar Sanjiazi Airport,NDG,China
Quanzhou,Quanzhou Jinjiang International Airport,JJN,China
Sanya,Sanya Phoenix International Airport,SYX,China
Shanghai,Shanghai Hongqiao International Airport,SHA,China
Shanghai,Shanghai Pudong International Airport,PVG,China
Shenyang,Shenyang Taoxian International Airport,SHE,China
Shenzhen,Shenzhen Bao'an International Airport,SZX,China
Shijiazhuang,Shijiazhuang Zhengding International Airport,SJW,China
Taiyuan,Taiyuan Wusu International Airport,TYN,China
Tianjin,Tianjin Binhai International Airport,TSN,China
Ulanqab,Ulanqab Jining Airport,UCB,China
Ürümqi,Ürümqi Diwopu International Airport,URC,China
Wanzhou,Wanzhou Wuqiao Airport,WXN,China
Weihai,Weihai Dashuibo Airport,WEH,China
Wenzhou,Wenzhou Yongqiang Airport,WNZ,China
Wuhan,Wuhan Tianhe International Airport,WUH,China
Wuxi,Sunan Shuofang International Airport,WUX,China
Wuyishan,Wuyishan Airport,WUS,China
Xiamen,Xiamen Gaoqi International Airport,XMN,China
Xi'an,Xi'an Xianyang International Airport,XIY,China
Xining,Xining Caojiabao International Airport,XNN,China
Xinzhou,Xinzhou Wutaishan Airport,WUT,China
Xishuangbanna,Xishuangbanna Gasa International Airport,JHG,China
Xuzhou,Xuzhou Guanyin Airport,XUZ,China
Yancheng,Yancheng Nanyang Airport,YNZ,China
Yangzhou,Yangzhou Taizhou International Airport,YTY,China
Yanji,Yanji Airport,YNJ,China
Yantai,Yantai Penglai International Airport,YNT,China
Yichang,Yichang Sanxia Airport,YIH,China
Yinchuan,Yinchuan Hedong International Airport,INC,China
Yiwu,Yiwu Airport,YIW,China
Yuncheng,Yuncheng Guangong Airport,YCU,China
Zhangjiajie,Zhangjiajie Hehua Airport,DYG,China
Zhanjiang,Zhanjiang Wuchuan Airport,ZHA,China
Zhengzhou,Zhengzhou Xinzheng International Airport,CGO,China
Zhuhai,Zhuhai Jinwan Airport,ZUH,China
Zunyi,Zunyi Xinzhou Airport,ZYI,China
"Chek Lap Kok, New Territories",Hong Kong International Airport,HKG,Hong Kong
"Taipa, Macau",Macau International Airport,MFM,Macau
Hualien City,Hualien Airport,HUN,Taiwan
Kaohsiung,Kaohsiung International Airport,KHH,Taiwan
Taichung,Taichung International Airport,RMQ,Taiwan
Tainan,Tainan Airport,TNN,Taiwan
Taipei,Taipei Songshan Airport,TSA,Taiwan
Taipei,Taoyuan International Airport,TPE,Taiwan
Busan,Gimhae International Airport,PUS,South Korea
Daegu,Daegu International Airport,TAE,South Korea
Jeju,Jeju International Airport,CJU,South Korea
Seoul,Gimpo International Airport,GMP,South Korea
Seoul,Incheon International Airport,ICN,South Korea
Cheongju,Cheongju International Airport,CJJ,South Korea
Muan,Muan International Airport,MWX,South Korea
Yangyang,Yangyang International Airport,YNY,South Korea
Chittagong,Shah Amanat International Airport,CGP,Bangladesh
Dhaka,Hazrat Shahjalal International Airport,DAC,Bangladesh
Sylhet,Osmani International Airport,ZYL,Bangladesh
Barishal,Barisal Airport,BZL,Bangladesh
Cox's Bazar,Cox's Bazar International Airport,CXB,Bangladesh
Khulna,Khan Jahan Ali Airport,KLN,Bangladesh
Rajshahi,Shah Makhdum Airport,RJH,Bangladesh
Rangpur,Saidpur Airport,SPD,Bangladesh
Paro,Paro International Airport,PBH,Bhutan
Agartala,Maharaja Bir Bikram Airport,IXA,India
Ahmedabad,Sardar Vallabhbhai Patel International Airport,AMD,India
Amritsar,Sri Guru Ram Das Ji International Airport,ATQ,India
Ayodhya,"Maharishi Valmiki International Airport, Ayodhya Dham",AYJ,India
Bengaluru,Kempegowda International Airport,BLR,India
Bhopal,Raja Bhoj Airport,BHO,India
Bhubaneswar,Biju Patnaik International Airport,BBI,India
Chennai,Chennai International Airport,MAA,India
Coimbatore,Coimbatore International Airport,CJB,India
Delhi NCR,Indira Gandhi International Airport,DEL,India
Noida (Delhi NCR),Noida International Airport,JWR,India
Gaya,Gaya Airport,GAY,India
North Goa,Manohar International Airport,GOX,India
South Goa,Dabolim Airport,GOI,India
Guwahati,Lokpriya Gopinath Bordoloi International Airport,GAU,India
Hyderabad,Rajiv Gandhi International Airport,HYD,India
Imphal,Imphal Airport,IMF,India
Indore,Devi Ahilya Bai Holkar Airport,IDR,India
Jaipur,Jaipur International Airport,JAI,India
Jammu,Jammu Airport,IXJ,India
Kannur,Kannur International Airport,CNN,India
Kochi,Cochin International Airport,COK,India
Kolkata,Netaji Subhas Chandra Bose International Airport,CCU,India
Kozhikode,Calicut International Airport,CCJ,India
Lucknow,Chaudhary Charan Singh Airport,LKO,India
Madurai,Madurai Airport,IXM,India
Mangaluru,Mangaluru International Airport,IXE,India
Mumbai,Chhatrapati Shivaji Maharaj International Airport,BOM,India
Navi Mumbai,Navi Mumbai International Airport,NMI,India
Nagpur,Dr. Babasaheb Ambedkar International Airport,NAG,India
Nashik,Nashik Airport,ISK,India
Pune,Pune Airport,PNQ,India
Ranchi,Birsa Munda Airport,IXR,India
Siliguri,Bagdogra International Airport,IXB,India
Srinagar,Srinagar Airport,SXR,India
Surat,Surat Airport,STV,India
Thiruvananthapuram,Trivandrum International Airport,TRV,India
Tiruchirappalli,Tiruchirappalli International Airport,TRZ,India
Tirupati,Tirupati International Airport,TIR,India
Vadodara,Vadodara Airport,BDQ,India
Varanasi,Lal Bahadur Shastri Airport,VNS,India
Vijayawada,Vijayawada International Airport,VGA,India
Visakhapatnam,Visakhapatnam International Airport,VTZ,India
Malé,Velana International Airport,MLE,Maldives
Addu City,Gan International Airport,GAN,Maldives
Hanimaadhoo,Hanimaadhoo International Airport,HAQ,Maldives
Maamigili,Villa International Airport Maamigili,VAM,Maldives
Maafaru,Maafaru International Airport,NMF,Maldives
Kathmandu,Tribhuvan International Airport,KTM,Nepal
Siddharthanagar,Gautam Buddha International Airport,BWA,Nepal
Pokhara,Pokhara Regional International Airport,PKR,Nepal
Bahawalpur,Bahawalpur Airport,BHV,Pakistan
Faisalabad,Faisalabad International Airport,LYP,Pakistan
Gwadar,Gwadar International Airport,GWD,Pakistan
Islamabad,Islamabad International Airport,ISB,Pakistan
Karachi,Jinnah International Airport,KHI,Pakistan
Lahore,Allama Iqbal International Airport,LHE,Pakistan
Multan,Multan International Airport,MUX,Pakistan
Peshawar,Bacha Khan International Airport,PEW,Pakistan
Quetta,Quetta International Airport,UET,Pakistan
Rahim Yar Khan,Shaikh Zayed International Airport,RYK,Pakistan
Sialkot,Sialkot International Airport,SKT,Pakistan
Turbat,Turbat International Airport,TUK,Pakistan
Batticaloa,Batticaloa International Airport,BTC,Sri Lanka
Colombo,Bandaranaike International Airport,CMB,Sri Lanka
Colombo,Ratmalana Airport,RML,Sri Lanka
Hambantota,Mattala Rajapaksa International Airport,HRI,Sri Lanka
Jaffna,Jaffna International Airport,JAF,Sri Lanka
Bandar Seri Begawan,Brunei International Airport,BWN,Brunei
Phnom Penh,Phnom Penh International Airport,PNH,Cambodia
Siem Reap,Siem Reap International Airport,REP,Cambodia
Sihanoukville,Sihanouk International Airport,KOS,Cambodia
Dili,Presidente Nicolau Lobato International Airport,DIL,East Timor
Balikpapan,Sultan Aji Muhammad Sulaiman Sepinggan International Airport,BPN,Indonesia
Banda Aceh,Sultan Iskandar Muda International Airport,BTJ,Indonesia
Bandung,Kertajati International Airport,KJT,Indonesia
Batam,Hang Nadim International Airport,BTH,Indonesia
Denpasar,I Gusti Ngurah Rai International Airport,DPS,Indonesia
Jakarta,Halim Perdanakusuma International Airport,HLP,Indonesia
Jakarta,Soekarno–Hatta International Airport,CGK,Indonesia
Jayapura,Dortheys Hiyo Eluay International Airport,DJJ,Indonesia
Labuan Bajo,Komodo International Airport,LBJ,Indonesia
Makassar,Sultan Hasanuddin International Airport,UPG,Indonesia
Manado,Sam Ratulangi International Airport,MDC,Indonesia
Mataram,Zainuddin Abdul Madjid International Airport,LOP,Indonesia
Medan,Kualanamu International Airport,KNO,Indonesia
Padang,Minangkabau International Airport,PDG,Indonesia
Pekanbaru,Sultan Syarif Kasim II International Airport,PKU,Indonesia
Surabaya,Juanda International Airport,SUB,Indonesia
Yogyakarta,Yogyakarta International Airport,YIA,Indonesia
Luang Prabang,Luang Prabang International Airport,LPQ,Laos
Pakse,Pakse International Airport,PKZ,Laos
Savannakhet,Savannakhet Airport,ZVK,Laos
Vientiane,Wattay International Airport,VTE,Laos
Alor Setar,Sultan Abdul Halim Airport,AOR,Malaysia
Ipoh,Sultan Azlan Shah Airport,IPH,Malaysia
Johor Bahru,Senai International Airport,JHB,Malaysia
Kota Bharu,Sultan Ismail Petra Airport,KBR,Malaysia
Kota Kinabalu,Kota Kinabalu International Airport,BKI,Malaysia
Kuala Lumpur,Kuala Lumpur International Airport,KUL,Malaysia
Kuala Lumpur,Sultan Abdul Aziz Shah Airport,SZB,Malaysia
Kuala Terengganu,Sultan Mahmud Airport,TGG,Malaysia
Kuantan,Sultan Haji Ahmad Shah Airport,KUA,Malaysia
Kuching,Kuching International Airport,KCH,Malaysia
Langkawi,Langkawi International Airport,LGK,Malaysia
Penang,Penang International Airport,PEN,Malaysia
Labuan,Labuan International Airport,LBU,Malaysia
Mandalay,Mandalay International Airport,MDL,Myanmar (Burma)
Yangon,Yangon International Airport,RGN,Myanmar (Burma)
Nay Pyi Taw,Naypyidaw International Airport,NYT,Myanmar (Burma)
Daraga,Bicol International Airport,DRP,Philippines
Cagayan,Cagayan North International Airport,LLC,Philippines
Lapu-Lapu City,Mactan–Cebu International Airport,CEB,Philippines
Angeles City,Clark International Airport,CRK,Philippines
Davao City,Francisco Bangoy International Airport,DVO,Philippines
General Santos,General Santos International Airport,GES,Philippines
Iloilo City,Iloilo International Airport,ILO,Philippines
Kalibo,Kalibo International Airport,KLO,Philippines
Laoag,Laoag International Airport,LAO,Philippines
Manila,Ninoy Aquino International Airport,MNL,Philippines
Panglao Island,Bohol–Panglao International Airport,TAG,Philippines
Puerto Princesa,Puerto Princesa International Airport,PPS,Philippines
Olongapo,Subic Bay International Airport,SFS,Philippines
Zamboanga City,Zamboanga International Airport,ZAM,Philippines
Singapore,Changi Airport,SIN,Singapore
Singapore,Seletar Airport,XSP,Singapore
Bangkok,Suvarnabhumi Airport,BKK,Thailand
Bangkok,Don Mueang International Airport,DMK,Thailand
Chiang Mai,Chiang Mai International Airport,CNX,Thailand
Chiang Rai,Chiang Rai International Airport,CEI,Thailand
Rayong/Pattaya,U-Tapao International Airport,UTP,Thailand
Hat Yai,Hat Yai International Airport,HDY,Thailand
Krabi,Krabi International Airport,KBV,Thailand
Phuket,Phuket International Airport,HKT,Thailand
Surat Thani,Surat Thani International Airport,URT,Thailand
Ko Samui,Samui Airport,USM,Thailand
